Date,inflation_rate,gdp_growth_rate,unemployment_rate,interest_rate,nominal_interest_rate,ppp,Close,High,Low,Open,Volume,price_return,inflation_adjusted_return,real_interest_rate,unemployment_rate_impact,ppp_adjusted_price
1956-10-01,,,,2.96,3.0,,,,,,,,,,,
1956-11-01,,,,2.88,3.0,,,,,,,,,,,
1956-12-01,,,,2.94,3.0,,,,,,,,,,,
1957-01-01,,,,2.84,3.0,,,,,,,,,,,
1957-02-01,,,,3.0,3.0,,,,,,,,,,,
1957-03-01,,,,2.96,3.0,,,,,,,,,,,
1957-04-01,,,,3.0,3.0,,,,,,,,,,,
1957-05-01,,,,3.0,3.0,,,,,,,,,,,
1957-06-01,,,,3.0,3.0,,,,,,,,,,,
1957-07-01,,,,2.99,3.0,,,,,,,,,,,
1957-08-01,,,,3.24,3.15,,,,,,,,,,,
1957-09-01,,,,3.47,3.5,,,,,,,,,,,
1957-10-01,,,,3.5,3.5,,,,,,,,,,,
1957-11-01,,,,3.28,3.23,,,,,,,,,,,
1957-12-01,,,,2.98,3.0,,,,,,,,,,,
1958-01-01,,,,2.72,2.94,,,,,,,,,,,
1958-02-01,,,,1.67,2.75,,,,,,,,,,,
1958-03-01,,,,1.2,2.35,,,,,,,,,,,
1958-04-01,,,,1.26,2.03,,,,,,,,,,,
1958-05-01,,,,0.63,1.75,,,,,,,,,,,
1958-06-01,,,,0.93,1.75,,,,,,,,,,,
1958-07-01,,,,0.68,1.75,,,,,,,,,,,
1958-08-01,,,,1.53,1.75,,,,,,,,,,,
1958-09-01,,,,1.76,1.91,,,,,,,,,,,
1958-10-01,,,,1.8,2.0,,,,,,,,,,,
1958-11-01,,,,2.27,2.4,,,,,,,,,,,
1958-12-01,,,,2.42,2.5,,,,,,,,,,,
1959-01-01,,,,2.48,2.5,,,,,,,,,,,
1959-02-01,,,,2.43,2.5,,,,,,,,,,,
1959-03-01,,,,2.8,2.92,,,,,,,,,,,
1959-04-01,,,,2.96,3.0,,,,,,,,,,,
1959-05-01,,,,2.9,3.05,,,,,,,,,,,
1959-06-01,,,,3.39,3.5,,,,,,,,,,,
1959-07-01,,,,3.47,3.5,,,,,,,,,,,
1959-08-01,,,,3.5,3.5,,,,,,,,,,,
1959-09-01,,,,3.76,3.83,,,,,,,,,,,
1959-10-01,,,,3.98,4.0,,,,,,,,,,,
1959-11-01,,,,4.0,4.0,,,,,,,,,,,
1959-12-01,,,,3.99,4.0,,,,,,,,,,,
1960-01-01,,,,3.99,4.0,,,,,,,,,,,
1960-02-01,,,,3.97,4.0,,,,,,,,,,,
1960-03-01,,,,3.84,4.0,,,,,,,,,,,
1960-04-01,,,,3.92,4.0,,,,,,,,,,,
1960-05-01,,,,3.85,4.0,,,,,,,,,,,
1960-06-01,,,,3.32,3.65,,,,,,,,,,,
1960-07-01,,,,3.23,3.5,,,,,,,,,,,
1960-08-01,,,,2.98,3.18,,,,,,,,,,,
1960-09-01,,,,2.6,3.0,,,,,,,,,,,
1960-10-01,,,,2.47,3.0,,,,,,,,,,,
1960-11-01,,,,2.44,3.0,,,,,,,,,,,
1960-12-01,,,,1.98,3.0,,,,,,,,,,,
1961-01-01,,,,1.45,3.0,,,,,,,,,,,
1961-02-01,,,,2.54,3.0,,,,,,,,,,,
1961-03-01,,,,2.02,3.0,,,,,,,,,,,
1961-04-01,,,,1.49,3.0,,,,,,,,,,,
1961-05-01,,,,1.98,3.0,,,,,,,,,,,
1961-06-01,,,,1.73,3.0,,,,,,,,,,,
1961-07-01,,,,1.17,3.0,,,,,,,,,,,
1961-08-01,,,,2.0,3.0,,,,,,,,,,,
1961-09-01,,,,1.88,3.0,,,,,,,,,,,
1961-10-01,,,,2.26,3.0,,,,,,,,,,,
1961-11-01,,,,2.61,3.0,,,,,,,,,,,
1961-12-01,,,,2.33,3.0,,,,,,,,,,,
1962-01-01,,,,2.15,3.0,,,,,,,,,,,
1962-02-01,,,,2.37,3.0,,,,,,,,,,,
1962-03-01,,,,2.85,3.0,,,,,,,,,,,
1962-04-01,,,,2.78,3.0,,,,,,,,,,,
1962-05-01,,,,2.36,3.0,,,,,,,,,,,
1962-06-01,,,,2.68,3.0,,,,,,,,,,,
1962-07-01,,,,2.71,3.0,,,,,,,,,,,
1962-08-01,,,,2.93,3.0,,,,,,,,,,,
1962-09-01,,,,2.9,3.0,,,,,,,,,,,
1962-10-01,,,,2.9,3.0,,,,,,,,,,,
1962-11-01,,,,2.94,3.0,,,,,,,,,,,
1962-12-01,,,,2.93,3.0,,,,,,,,,,,
1963-01-01,,,,2.92,3.0,,,,,,,,,,,
1963-02-01,,,,3.0,3.0,,,,,,,,,,,
1963-03-01,,,,2.98,3.0,,,,,,,,,,,
1963-04-01,,,,2.9,3.0,,,,,,,,,,,
1963-05-01,,,,3.0,3.0,,,,,,,,,,,
1963-06-01,,,,2.99,3.0,,,,,,,,,,,
1963-07-01,,,,3.02,3.24,,,,,,,,,,,
1963-08-01,,,,3.49,3.5,,,,,,,,,,,
1963-09-01,,,,3.48,3.5,,,,,,,,,,,
1963-10-01,,,,3.5,3.5,,,,,,,,,,,
1963-11-01,,,,3.48,3.5,,,,,,,,,,,
1963-12-01,,,,3.38,3.5,,,,,,,,,,,
1964-01-01,,,,3.48,3.5,,,,,,,,,,,
1964-02-01,,,,3.48,3.5,,,,,,,,,,,
1964-03-01,,,,3.43,3.5,,,,,,,,,,,
1964-04-01,,,,3.47,3.5,,,,,,,,,,,
1964-05-01,,,,3.5,3.5,,,,,,,,,,,
1964-06-01,,,,3.5,3.5,,,,,,,,,,,
1964-07-01,,,,3.42,3.5,,,,,,,,,,,
1964-08-01,,,,3.5,3.5,,,,,,,,,,,
1964-09-01,,,,3.45,3.5,,,,,,,,,,,
1964-10-01,,,,3.36,3.5,,,,,,,,,,,
1964-11-01,,,,3.52,3.62,,,,,,,,,,,
1964-12-01,,,,3.85,4.0,,,,,,,,,,,
1965-01-01,,,,3.9,4.0,,,,,,,,,,,
1965-02-01,,,,3.98,4.0,,,,,,,,,,,
1965-03-01,,,,4.05,4.0,,,,,,,,,,,
1965-04-01,,,,4.09,4.0,,,,,,,,,,,
1965-05-01,,,,4.1,4.0,,,,,,,,,,,
1965-06-01,,,,4.05,4.0,,,,,,,,,,,
1965-07-01,,,,4.09,4.0,,,,,,,,,,,
1965-08-01,,,,4.12,4.0,,,,,,,,,,,
1965-09-01,,,,4.02,4.0,,,,,,,,,,,
1965-10-01,,,,4.08,4.0,,,,,,,,,,,
1965-11-01,,,,4.1,4.0,,,,,,,,,,,
1965-12-01,,,,4.32,4.42,,,,,,,,,,,
1966-01-01,,,,4.42,4.5,,,,,,,,,,,
1966-02-01,,,,4.6,4.5,,,,,,,,,,,
1966-03-01,,,,4.66,4.5,,,,,,,,,,,
1966-04-01,,,,4.67,4.5,,,,,,,,,,,
1966-05-01,,,,4.9,4.5,,,,,,,,,,,
1966-06-01,,,,5.17,4.5,,,,,,,,,,,
1966-07-01,,,,5.3,4.5,,,,,,,,,,,
1966-08-01,,,,5.53,4.5,,,,,,,,,,,
1966-09-01,,,,5.4,4.5,,,,,,,,,,,
1966-10-01,,,,5.53,4.5,,,,,,,,,,,
1966-11-01,,,,5.76,4.5,,,,,,,,,,,
1966-12-01,,,,5.4,4.5,,,,,,,,,,,
1967-01-01,,,,4.94,4.5,,,,,,,,,,,
1967-02-01,,,,5.0,4.5,,,,,,,,,,,
1967-03-01,,,,4.53,4.5,,,,,,,,,,,
1967-04-01,,,,4.05,4.1,,,,,,,,,,,
1967-05-01,,,,3.94,4.0,,,,,,,,,,,
1967-06-01,,,,3.98,4.0,,,,,,,,,,,
1967-07-01,,,,3.79,4.0,,,,,,,,,,,
1967-08-01,,,,3.9,4.0,,,,,,,,,,,
1967-09-01,,,,3.99,4.0,,,,,,,,,,,
1967-10-01,,,,3.88,4.0,,,,,,,,,,,
1967-11-01,,,,4.13,4.18,,,,,,,,,,,
1967-12-01,,,,4.51,4.5,,,,,,,,,,,
1968-01-01,,,,4.61,4.5,,,,,,,,,,,
1968-02-01,,,,4.71,4.5,,,,,,,,,,,
1968-03-01,,,,5.05,4.66,,,,,,,,,,,
1968-04-01,,,,5.76,5.2,,,,,,,,,,,
1968-05-01,,,,6.12,5.5,,,,,,,,,,,
1968-06-01,,,,6.07,5.5,,,,,,,,,,,
1968-07-01,,,,6.03,5.5,,,,,,,,,,,
1968-08-01,,,,6.03,5.48,,,,,,,,,,,
1968-09-01,,,,5.78,5.25,,,,,,,,,,,
1968-10-01,,,,5.91,5.25,,,,,,,,,,,
1968-11-01,,,,5.82,5.25,,,,,,,,,,,
1968-12-01,,,,6.02,5.36,,,,,,,,,,,
1969-01-01,,,,6.3,5.5,,,,,,,,,,,
1969-02-01,,,,6.61,5.5,,,,,,,,,,,
1969-03-01,,,,6.79,5.5,,,,,,,,,,,
1969-04-01,,,,7.41,5.95,,,,,,,,,,,
1969-05-01,,,,8.67,6.0,,,,,,,,,,,
1969-06-01,,,,8.9,6.0,,,,,,,,,,,
1969-07-01,,,,8.61,6.0,,,,,,,,,,,
1969-08-01,,,,9.19,6.0,,,,,,,,,,,
1969-09-01,,,,9.15,6.0,,,,,,,,,,,
1969-10-01,,,,9.0,6.0,,,,,,,,,,,
1969-11-01,,,,8.85,6.0,,,,,,,,,,,
1969-12-01,,,,8.97,6.0,,,,,,,,,,,
1970-01-01,,,,8.98,6.0,,,,,,,,,,,
1970-02-01,,,,8.98,6.0,,,,,,,,,,,
1970-03-01,,,,7.76,6.0,,,,,,,,,,,
1970-04-01,,,,8.1,6.0,,,,,,,,,,,
1970-05-01,,,,7.95,6.0,,,,,,,,,,,
1970-06-01,,,,7.61,6.0,,,,,,,,,,,
1970-07-01,,,,7.21,6.0,,,,,,,,,,,
1970-08-01,,,,6.62,6.0,,,,,,,,,,,
1970-09-01,,,,6.29,6.0,,,,,,,,,,,
1970-10-01,,,,6.2,6.0,,,,,,,,,,,
1970-11-01,,,,5.6,5.85,,,,,,,,,,,
1970-12-01,,,,4.9,5.52,,,,,,,,,,,
1971-01-01,,,,4.14,5.23,,,,,,,,,,,
1971-02-01,,,,3.72,4.91,,,,,,,,,,,
1971-03-01,,,,3.71,4.75,,,,,,,,,,,
1971-04-01,,,,4.16,4.75,,,,,,,,,,,
1971-05-01,,,,4.63,4.75,,,,,,,,,,,
1971-06-01,,,,4.91,4.75,,,,,,,,,,,
1971-07-01,,,,5.31,4.88,,,,,,,,,,,
1971-08-01,,,,5.57,5.0,,,,,,,,,,,
1971-09-01,,,,5.55,5.0,,,,,,,,,,,
1971-10-01,,,,5.2,5.0,,,,,,,,,,,
1971-11-01,,,,4.91,4.9,,,,,,,,,,,
1971-12-01,,,,4.14,4.63,,,,,,,,,,,
1972-01-01,,,,3.51,4.5,,,,,,,,,,,
1972-02-01,,,,3.3,4.5,,,,,,,,,,,
1972-03-01,,,,3.83,4.5,,,,,,,,,,,
1972-04-01,,,,4.17,4.5,,,,,,,,,,,
1972-05-01,,,,4.27,4.5,,,,,,,,,,,
1972-06-01,,,,4.46,4.5,,,,,,,,,,,
1972-07-01,,,,4.55,4.5,,,,,,,,,,,
1972-08-01,,,,4.81,4.5,,,,,,,,,,,
1972-09-01,,,,4.87,4.5,,,,,,,,,,,
1972-10-01,,,,5.05,4.5,,,,,,,,,,,
1972-11-01,,,,5.06,4.5,,,,,,,,,,,
1972-12-01,,,,5.33,4.5,,,,,,,,,,,
1973-01-01,,,,5.94,4.77,,,,,,,,,,,
1973-02-01,,,,6.58,5.05,,,,,,,,,,,
1973-03-01,,,,7.09,5.5,,,,,,,,,,,
1973-04-01,,,,7.12,5.5,,,,,,,,,,,
1973-05-01,,,,7.84,5.9,,,,,,,,,,,
1973-06-01,,,,8.49,6.33,,,,,,,,,,,
1973-07-01,,,,10.4,6.98,,,,,,,,,,,
1973-08-01,,,,10.5,7.29,,,,,,,,,,,
1973-09-01,,,,10.78,7.5,,,,,,,,,,,
1973-10-01,,,,10.01,7.5,,,,,,,,,,,
1973-11-01,,,,10.03,7.5,,,,,,,,,,,
1973-12-01,,,,9.95,7.5,,,,,,,,,,,
1974-01-01,,,,9.65,7.5,,,,,,,,,,,
1974-02-01,,,,8.97,7.5,,,,,,,,,,,
1974-03-01,,,,9.35,7.5,,,,,,,,,,,
1974-04-01,,,,10.51,7.6,,,,,,,,,,,
1974-05-01,,,,11.31,8.0,,,,,,,,,,,
1974-06-01,,,,11.93,8.0,,,,,,,,,,,
1974-07-01,,,,12.92,8.0,,,,,,,,,,,
1974-08-01,,,,12.01,8.0,,,,,,,,,,,
1974-09-01,,,,11.34,8.0,,,,,,,,,,,
1974-10-01,,,,10.06,8.0,,,,,,,,,,,
1974-11-01,,,,9.45,8.0,,,,,,,,,,,
1974-12-01,,,,8.53,7.81,,,,,,,,,,,
1975-01-01,,,,7.13,7.4,,,,,,,,,,,
1975-02-01,,,,6.24,6.82,,,,,,,,,,,
1975-03-01,,,,5.54,6.4,,,,,,,,,,,
1975-04-01,,,,5.49,6.25,,,,,,,,,,,
1975-05-01,,,,5.22,6.12,,,,,,,,,,,
1975-06-01,,,,5.55,6.0,,,,,,,,,,,
1975-07-01,,,,6.1,6.0,,,,,,,,,,,
1975-08-01,,,,6.14,6.0,,,,,,,,,,,
1975-09-01,,,,6.24,6.0,,,,,,,,,,,
1975-10-01,,,,5.82,6.0,,,,,,,,,,,
1975-11-01,,,,5.22,6.0,,,,,,,,,,,
1975-12-01,,,,5.2,6.0,,,,,,,,,,,
1976-01-01,,,,4.87,5.79,,,,,,,,,,,
1976-02-01,,,,4.77,5.5,,,,,,,,,,,
1976-03-01,,,,4.84,5.5,,,,,,,,,,,
1976-04-01,,,,4.82,5.5,,,,,,,,,,,
1976-05-01,,,,5.29,5.5,,,,,,,,,,,
1976-06-01,,,,5.48,5.5,,,,,,,,,,,
1976-07-01,,,,5.31,5.5,,,,,,,,,,,
1976-08-01,,,,5.29,5.5,,,,,,,,,,,
1976-09-01,,,,5.25,5.5,,,,,,,,,,,
1976-10-01,,,,5.02,5.5,,,,,,,,,,,
1976-11-01,,,,4.95,5.43,,,,,,,,,,,
1976-12-01,,,,4.65,5.25,,,,,,,,,,,
1977-01-01,,,,4.61,5.25,,,,,,,,,,,
1977-02-01,,,,4.68,5.25,,,,,,,,,,,
1977-03-01,,,,4.69,5.25,,,,,,,,,,,
1977-04-01,,,,4.73,5.25,,,,,,,,,,,
1977-05-01,,,,5.35,5.25,,,,,,,,,,,
1977-06-01,,,,5.39,5.25,,,,,,,,,,,
1977-07-01,,,,5.42,5.25,,,,,,,,,,,
1977-08-01,,,,5.9,5.27,,,,,,,,,,,
1977-09-01,,,,6.14,5.75,,,,,,,,,,,
1977-10-01,,,,6.47,5.8,,,,,,,,,,,
1977-11-01,,,,6.51,6.0,,,,,,,,,,,
1977-12-01,,,,6.56,6.0,,,,,,,,,,,
1978-01-01,,,,6.7,6.37,,,,,,,,,,,
1978-02-01,,,,6.78,6.5,,,,,,,,,,,
1978-03-01,,,,6.79,6.5,,,,,,,,,,,
1978-04-01,,,,6.89,6.5,,,,,,,,,,,
1978-05-01,,,,7.36,6.84,,,,,,,,,,,
1978-06-01,,,,7.6,7.0,,,,,,,,,,,
1978-07-01,,,,7.81,7.23,,,,,,,,,,,
1978-08-01,,,,8.04,7.43,,,,,,,,,,,
1978-09-01,,,,8.45,7.83,,,,,,,,,,,
1978-10-01,,,,8.96,8.26,,,,,,,,,,,
1978-11-01,,,,9.76,9.5,,,,,,,,,,,
1978-12-01,,,,10.03,9.5,,,,,,,,,,,
1979-01-01,,,,10.07,9.5,,,,,,,,,,,
1979-02-01,,,,10.06,9.5,,,,,,,,,,,
1979-03-01,,,,10.09,9.5,,,,,,,,,,,
1979-04-01,,,,10.01,9.5,,,,,,,,,,,
1979-05-01,,,,10.24,9.5,,,,,,,,,,,
1979-06-01,,,,10.29,9.5,,,,,,,,,,,
1979-07-01,,,,10.47,9.69,,,,,,,,,,,
1979-08-01,,,,10.94,10.24,,,,,,,,,,,
1979-09-01,,,,11.43,10.7,,,,,,,,,,,
1979-10-01,,,,13.77,11.77,,,,,,,,,,,
1979-11-01,,,,13.18,12.0,,,,,,,,,,,
1979-12-01,,,,13.78,12.0,,,,,,,,,,,
1980-01-01,,,,13.82,12.0,,,,,,,,,,,
1980-02-01,,,,14.13,12.52,,,,,,,,,,,
1980-03-01,,,,17.19,13.0,,,,,,,,,,,
1980-04-01,,,,17.61,13.0,,,,,,,,,,,
1980-05-01,,,,10.98,12.94,,,,,,,,,,,
1980-06-01,,,,9.47,11.4,,,,,,,,,,,
1980-07-01,,,,9.03,10.87,,,,,,,,,,,
1980-08-01,,,,9.61,10.0,,,,,,,,,,,
1980-09-01,,,,10.87,10.17,,,,,,,,,,,
1980-10-01,,,,12.81,11.0,,,,,,,,,,,
1980-11-01,,,,15.85,11.47,,,,,,,,,,,
1980-12-01,,,,18.9,12.87,,,,,,,,,,,
1981-01-01,,,,19.08,13.0,,,,,,,,,,,
1981-02-01,,,,15.93,13.0,,,,,,,,,,,
1981-03-01,,,,14.7,13.0,,,,,,,,,,,
1981-04-01,,,,15.72,13.0,,,,,,,,,,,
1981-05-01,,,,18.52,13.87,,,,,,,,,,,
1981-06-01,,,,19.1,14.0,,,,,,,,,,,
1981-07-01,,,,19.04,14.0,,,,,,,,,,,
1981-08-01,,,,17.82,14.0,,,,,,,,,,,
1981-09-01,,,,15.87,14.0,,,,,,,,,,,
1981-10-01,,,,15.08,14.0,,,,,,,,,,,
1981-11-01,,,,13.31,13.03,,,,,,,,,,,
1981-12-01,,,,12.37,12.1,,,,,,,,,,,
1982-01-01,,,,13.22,12.0,,,,,,,,,,,
1982-02-01,,,,14.78,12.0,,,,,,,,,,,
1982-03-01,,,,14.68,12.0,,,,,,,,,,,
1982-04-01,,,,14.94,12.0,,,,,,,,,,,
1982-05-01,,,,14.45,12.0,,,,,,,,,,,
1982-06-01,,,,14.15,12.0,,,,,,,,,,,
1982-07-01,,,,12.59,11.81,,,,,,,,,,,
1982-08-01,,,,10.12,10.68,,,,,,,,,,,
1982-09-01,,,,10.31,10.0,,,,,,,,,,,
1982-10-01,,,,9.71,9.68,,,,,,,,,,,
1982-11-01,,,,9.2,9.35,,,,,,,,,,,
1982-12-01,,,,8.95,8.73,,,,,,,,,,,
1983-01-01,,,,8.68,8.5,,,,,,,,,,,
1983-02-01,,,,8.51,8.5,,,,,,,,,,,
1983-03-01,,,,8.77,8.5,,,,,,,,,,,
1983-04-01,,,,8.8,8.5,,,,,,,,,,,
1983-05-01,,,,8.63,8.5,,,,,,,,,,,
1983-06-01,,,,8.98,8.5,,,,,,,,,,,
1983-07-01,,,,9.37,8.5,,,,,,,,,,,
1983-08-01,,,,9.56,8.5,,,,,,,,,,,
1983-09-01,,,,9.45,8.5,,,,,,,,,,,
1983-10-01,,,,9.48,8.5,,,,,,,,,,,
1983-11-01,,,,9.34,8.5,,,,,,,,,,,
1983-12-01,,,,9.47,8.5,,,,,,,,,,,
1984-01-01,,,,9.56,8.5,,,,,,,,,,,
1984-02-01,,,,9.59,8.5,,,,,,,,,,,
1984-03-01,,,,9.91,8.5,,,,,,,,,,,
1984-04-01,,,,10.29,8.87,,,,,,,,,,,
1984-05-01,,,,10.32,9.0,,,,,,,,,,,
1984-06-01,,,,11.06,9.0,,,,,,,,,,,
1984-07-01,,,,11.23,9.0,,,,,,,,,,,
1984-08-01,,,,11.64,9.0,,,,,,,,,,,
1984-09-01,,,,11.3,9.0,,,,,,,,,,,
1984-10-01,,,,9.99,9.0,,,,,,,,,,,
1984-11-01,,,,9.43,8.83,,,,,,,,,,,
1984-12-01,,,,8.38,8.37,,,,,,,,,,,
1985-01-01,,,,8.35,8.0,,,,,,,,,,,
1985-02-01,,,,8.5,8.0,,,,,,,,,,,
1985-03-01,,,,8.58,8.0,,,,,,,,,,,
1985-04-01,,,,8.27,8.0,,,,,,,,,,,
1985-05-01,,,,7.97,7.81,,,,,,,,,,,
1985-06-01,,,,7.53,7.5,,,,,,,,,,,
1985-07-01,,,,7.88,7.5,,,,,,,,,,,
1985-08-01,,,,7.9,7.5,,,,,,,,,,,
1985-09-01,,,,7.92,7.5,,,,,,,,,,,
1985-10-01,,,,7.99,7.5,,,,,,,,,,,
1985-11-01,,,,8.05,7.5,,,,,,,,,,,
1985-12-01,,,,8.27,7.5,,,,,,,,,,,
1986-01-01,,,,8.14,7.5,,,,,,,,,,,
1986-02-01,,,,7.86,7.5,,,,,,,,,,,
1986-03-01,,,,7.48,7.1,,,,,,,,,,,
1986-04-01,,,,6.99,6.83,,,,,,,,,,,
1986-05-01,,,,6.85,6.5,,,,,,,,,,,
1986-06-01,,,,6.92,6.5,,,,,,,,,,,
1986-07-01,,,,6.56,6.16,,,,,,,,,,,
1986-08-01,,,,6.17,5.82,,,,,,,,,,,
1986-09-01,,,,5.89,5.5,,,,,,,,,,,
1986-10-01,,,,5.85,5.5,,,,,,,,,,,
1986-11-01,,,,6.04,5.5,,,,,,,,,,,
1986-12-01,,,,6.91,5.5,,,,,,,,,,,
1987-01-01,,,,6.43,5.5,,,,,,,,,,,
1987-02-01,,,,6.1,5.5,,,,,,,,,,,
1987-03-01,,,,6.13,5.5,,,,,,,,,,,
1987-04-01,,,,6.37,5.5,,,,,,,,,,,
1987-05-01,,,,6.85,5.5,,,,,,,,,,,
1987-06-01,,,,6.73,5.5,,,,,,,,,,,
1987-07-01,,,,6.58,5.5,,,,,,,,,,,
1987-08-01,,,,6.73,5.5,,,,,,,,,,,
1987-09-01,,,,7.22,5.95,,,,,,,,,,,
1987-10-01,,,,7.29,6.0,,,,,,,,,,,
1987-11-01,,,,6.69,6.0,,,,,,,,,,,
1987-12-01,,,,6.77,6.0,,,,,,,,,,,
1988-01-01,,,,6.83,6.0,,,,,,,,,,,
1988-02-01,,,,6.58,6.0,,,,,,,,,,,
1988-03-01,,,,6.58,6.0,,,,,,,,,,,
1988-04-01,,,,6.87,6.0,,,,,,,,,,,
1988-05-01,,,,7.09,6.0,,,,,,,,,,,
